waktu,heading,wind speed,wind direction
16:15:19,270,2.3,98
16:15:22,270,2.1,317
16:15:24,270,1.2,39
16:15:26,270,1.2,305
16:15:28,270,1.4,301
16:15:30,270,2,118
16:15:32,270,1.9,273
16:15:34,270,1.9,342
16:15:37,270,1.9,348
16:15:39,271,2.1,42
16:15:41,271,1.8,51
16:15:43,272,1.6,271
16:15:45,273,1.9,359
16:15:47,273,1.7,64
16:15:49,273,2.4,49
16:15:52,274,2,168
16:15:54,275,1.9,314
16:15:56,274,1.5,12
16:15:58,275,1.2,5
16:16:00,275,1.2,8
16:16:03,275,2.8,66
16:16:05,275,3.1,22
16:16:07,275,2.2,302
16:16:09,274,1.3,355
16:16:11,274,1.9,102
16:16:13,273,2,25
16:16:15,274,1.9,69
16:16:18,273,1.8,84
16:16:20,272,2.4,251
16:16:22,272,2.6,265
16:16:24,272,2.8,248
16:16:26,271,2,69
16:16:28,271,2,14
16:16:31,271,2,55
16:16:33,270,2.2,5
16:16:35,270,1.9,314
16:16:37,270,1.9,207
16:16:39,269,2.5,25
16:16:41,269,3.4,193
16:16:44,269,2.4,9
16:16:46,269,2.2,270
16:16:48,269,2.3,195
16:16:50,269,1.9,265
16:16:52,269,1.5,344
16:16:54,269,1.9,35
16:16:56,269,1.4,55
16:16:59,269,1.5,34
16:17:01,269,1.7,85
16:17:03,269,2,272
16:17:05,270,2.5,158
16:17:07,270,2.3,73
16:17:10,271,2.9,274
16:17:12,271,2.1,76
16:17:14,271,2.5,304
16:17:16,272,1.8,60
16:17:18,272,2,354
16:17:21,272,1.6,332
16:17:23,272,1.9,65
16:17:25,273,1.8,31
16:17:27,273,1.5,29
16:17:29,273,1.2,135
16:17:32,273,1.7,56
16:17:34,273,1.2,104
16:17:36,273,1.2,1
16:17:38,273,1.2,69
16:17:40,273,1.6,354
16:17:43,273,1.3,62
16:17:45,273,1.2,56
16:17:47,273,1.1,167
16:17:49,273,1.6,220
16:17:51,273,1.7,192
16:17:54,273,1.9,73
16:17:56,273,1.7,2
16:17:58,273,1.6,61
16:18:00,273,1.5,352
16:18:02,272,1.2,55
16:18:05,273,1.1,37
16:18:07,273,1,111
16:18:09,273,1.2,208
16:18:11,273,1.3,197
16:18:13,273,1.6,294
16:18:15,273,1.2,111
16:18:18,273,1.2,60
16:18:20,273,1.3,94
16:18:22,273,1.4,6
16:18:24,273,1.4,302
16:18:26,273,1.7,48
16:18:29,273,1.6,23
16:18:31,273,0.7,48
16:18:33,273,0.5,5
16:18:35,273,1.1,204
16:18:37,273,1.4,288
16:18:40,273,1.9,301
16:18:42,273,1.5,13
16:18:44,272,1.3,117
16:18:46,272,1.6,290
16:18:48,272,0.9,318
16:18:50,273,2.4,2
16:18:53,273,2.2,55
16:18:55,272,1.9,260
16:18:57,273,1.9,173
16:18:59,272,2,197
16:19:01,272,1.5,123
