ComponentId,Latitude,Longitude,Depth
2,1.154977592,103.9054883,2.5
2,1.155060512,103.904931232,2.5
2,1.155061415,103.904913262,2.5
2,1.155058531,103.904895292,2.5
2,1.155039005,103.904859352,2.5
2,1.155009558,103.90483075,2.5
2,1.15499147,103.904820867,2.5
2,1.154901034,103.904805661,2.5
2,1.154810597,103.904800616,2.5
2,1.154557375,103.904804238,2.5
2,1.154195628,103.904832063,2.5
2,1.154123279,103.904821857,2.5
2,1.154099479,103.904805442,2.5
2,1.154087105,103.904789173,2.5
2,1.154074353,103.904751532,2.5
2,1.154073407,103.904733562,2.5
2,1.154075513,103.904715592,2.5
2,1.154105192,103.904603241,2.5
2,1.154108955,103.904571833,2.5
2,1.154110053,103.904535893,2.5
2,1.154107498,103.904499953,2.5
2,1.154101693,103.904464013,2.5
2,1.154072306,103.904338223,2.5
3,1.14522432,103.912822664,2.5
3,1.14522432,103.912802069,2.5
3,1.145242407,103.912802069,2.5
3,1.145242407,103.912766129,2.5
3,1.145260494,103.912766129,2.5
3,1.145260494,103.91274816,2.5
3,1.145278581,103.91274816,2.5
3,1.145278581,103.91271222,2.5
3,1.145296669,103.91271222,2.5
3,1.145296669,103.91267628,2.5
3,1.145314756,103.91267628,2.5
3,1.145314756,103.91264034,2.5
3,1.145332843,103.91264034,2.5
3,1.145332843,103.91262237,2.5
3,1.145350931,103.91262237,2.5
3,1.145350931,103.91258643,2.5
3,1.145369018,103.91258643,2.5
3,1.145369018,103.91255049,2.5
3,1.145387105,103.91255049,2.5
3,1.145387105,103.91251455,2.5
3,1.145405193,103.91251455,2.5
3,1.145405193,103.91249658,2.5
3,1.14542328,103.91249658,2.5
3,1.14542328,103.91246064,2.5
3,1.145441367,103.91246064,2.5
3,1.145441367,103.9124247,2.5
3,1.145459455,103.9124247,2.5
3,1.145459455,103.912388761,2.5
3,1.145477542,103.912388761,2.5
3,1.145477542,103.912370791,2.5
3,1.145495629,103.912370791,2.5
3,1.145495629,103.912334851,2.5
3,1.145513717,103.912334851,2.5
3,1.145513717,103.912298911,2.5
3,1.145531804,103.912298911,2.5
3,1.145531804,103.912262971,2.5
3,1.145549891,103.912262971,2.5
3,1.145549891,103.912245001,2.5
3,1.145567979,103.912245001,2.5
3,1.145567979,103.912227031,2.5
3,1.145586066,103.912227031,2.5
3,1.145586066,103.912209061,2.5
3,1.145604153,103.912209061,2.5
3,1.145604153,103.912191091,2.5
3,1.145622241,103.912191091,2.5
3,1.145622241,103.912173121,2.5
3,1.145640328,103.912173121,2.5
3,1.145640328,103.912155151,2.5
3,1.145658415,103.912155151,2.5
3,1.145658415,103.912137181,2.5
3,1.145676502,103.912137181,2.5
3,1.145676502,103.912119211,2.5
3,1.14569459,103.912119211,2.5
3,1.14569459,103.912101241,2.5
3,1.145712677,103.912101241,2.5
3,1.145712677,103.912083271,2.5
3,1.145730764,103.912083271,2.5
3,1.145730764,103.912065301,2.5
3,1.145748852,103.912065301,2.5
3,1.145748852,103.912047332,2.5
3,1.145766939,103.912047332,2.5
3,1.145766939,103.912029362,2.5
3,1.145785026,103.912029362,2.5
3,1.145785026,103.912011392,2.5
3,1.145803114,103.912011392,2.5
3,1.145803114,103.911993422,2.5
3,1.145821201,103.911993422,2.5
3,1.145821201,103.911957482,2.5
3,1.145839288,103.911957482,2.5
3,1.145839288,103.911939512,2.5
3,1.145857376,103.911939512,2.5
3,1.145857376,103.911921542,2.5
3,1.145875463,103.911921542,2.5
3,1.145875463,103.911903572,2.5
3,1.14589355,103.911903572,2.5
3,1.14589355,103.911885602,2.5
3,1.145911638,103.911885602,2.5
3,1.145911638,103.911867632,2.5
3,1.145929725,103.911867632,2.5
